Use Case	Feature	Main Actor	Use Case Description
Delete Configuration Item	Configuration Management (CMDB)	Asset Manager	Delete CI only if it's inactive and has no linked tickets or relationships (supports bulk delete)
Enable/Disable Configuration Item	Configuration Management (CMDB)	Asset Manager	Toggle CI status between ACTIVE and INACTIVE (supports bulk toggle)
View CI Relationship Map	Configuration Management (CMDB)	Asset Manager, System Engineer	Visualize CI relationships and dependencies in a map view
View CI Type List	Configuration Management (CMDB)	Asset Manager, Admin	Display list of configuration item types with search and filtering
View CI Type Detail	Configuration Management (CMDB)	Asset Manager, Admin	View CI type details including associated configuration items count
Create CI Type	Configuration Management (CMDB)	Admin	Create new CI type to categorize configuration items (e.g., Server, Laptop, Router) (Status: ACTIVE)
Update CI Type	Configuration Management (CMDB)	Admin	Modify CI type name and properties
Delete CI Type	Configuration Management (CMDB)	Admin	Delete CI type only if no configuration items are using it (supports bulk delete)
Enable/Disable CI Type	Configuration Management (CMDB)	Admin	Toggle CI type status to show or hide from CI creation (supports bulk toggle)
View Executive Dashboard	Reporting & Dashboard	IT Director, Manager	View KPIs, metrics, and charts for incidents, SLA compliance, and team performance
View Time Tracking	Time Tracking Management	Support Agent, Manager	View time logs with filtering by agent, ticket, and date range
Log Time on Ticket	Time Tracking Management	Support Agent	Record time spent on tickets with activity type and description
Update Time Log	Time Tracking Management	Support Agent	Modify time log entry within 24 hours if ticket is not closed
Delete Time Log	Time Tracking Management	Support Agent	Delete time log entry within 24 hours if ticket is not closed
View SLA Policy List	SLA Management	General Manager, Admin	Display list of SLA policies with response and resolution times
Configure SLA Policies	SLA Management	General Manager, Admin	Define SLA policies with response and resolution time targets by priority and category
Enable/Disable SLA Policy	SLA Management	Admin	Toggle SLA policy active status (supports bulk toggle)
Delete SLA Policy	SLA Management	Admin	Delete SLA policy only if no tickets are using it (supports bulk delete)
View SLA Breach Alert List	SLA Management	General Manager	Display list of tickets at risk of or already breaching SLA
View SLA Breach Alert Detail	SLA Management	General Manager	View detailed information about SLA breach or warning
View Workflow List	Workflow Management	Admin, Manager	Display list of custom workflows with status and usage
View Workflow Detail	Workflow Management	Admin, Manager	View workflow design and execution history
Create Custom Workflow	Workflow Management	Admin, Manager	Design custom workflow using visual canvas with drag-and-drop (Status: DRAFT)
Update Workflow	Workflow Management	Admin, Manager	Modify workflow design and configuration
Delete Workflow	Workflow Management	Admin	Delete workflow only if it's in draft status with no execution history (supports bulk delete)
Enable/Disable Workflow	Workflow Management	Admin	Toggle workflow active status to start or stop using it (supports bulk toggle)
View Ticket Category List	Ticket Category Management	Admin	Display hierarchical list of ticket categories
View Ticket Category Detail	Ticket Category Management	Admin	View category details including parent category and difficulty level
Create Ticket Category	Ticket Category Management	Admin	Create new ticket category with parent category and routing rules (Status: ACTIVE)
Update Ticket Category	Ticket Category Management	Admin	Modify category details and routing configuration
Delete Ticket Category	Ticket Category Management	Admin	Delete category only if no tickets use it and it has no sub-categories (supports bulk delete)
Enable/Disable Ticket Category	Ticket Category Management	Admin	Toggle category active status to show or hide from selection (supports bulk toggle)
